Designator,Value,Mid X,Mid Y,Rotation,Layer
C1,1uF,29.591000,-31.369000,90.000000,bottom
C2,0.1uF,31.115000,-31.369000,90.000000,bottom
C3,0.1uF,22.098000,-35.687000,270.000000,bottom
C4,0.1uF,22.098000,-43.942000,90.000000,bottom
C5,0.1uF,34.036000,-47.625000,0.000000,bottom
C6,0.1uF,39.243000,-36.576000,0.000000,bottom
C7,10uF,25.400000,-31.496000,180.000000,bottom
D_1,D,12.081000,-14.216000,90.000000,bottom
D_2,D,31.131000,-14.216000,90.000000,bottom
D_3,D,50.181000,-14.216000,90.000000,bottom
D_4,D,69.231000,-14.216000,90.000000,bottom
D_5,D,88.281000,-14.216000,90.000000,bottom
D_6,D,107.331000,-14.216000,90.000000,bottom
D_7,D,126.381000,-14.216000,90.000000,bottom
D_8,D,145.431000,-14.216000,90.000000,bottom
D_9,D,164.481000,-14.216000,90.000000,bottom
D_10,D,183.531000,-14.216000,90.000000,bottom
D_11,D,202.581000,-14.216000,90.000000,bottom
D_12,D,224.028000,-14.224000,90.000000,bottom
D_13,D,14.478000,-18.415000,270.000000,bottom
D_14,D,35.893500,-18.407000,270.000000,bottom
D_15,D,54.943500,-18.407000,270.000000,bottom
D_16,D,73.993500,-18.407000,270.000000,bottom
D_17,D,93.043500,-18.407000,270.000000,bottom
D_18,D,112.093500,-18.407000,270.000000,bottom
D_19,D,131.143500,-18.407000,270.000000,bottom
D_20,D,150.193500,-18.407000,270.000000,bottom
D_21,D,169.243500,-18.407000,270.000000,bottom
D_22,D,188.293500,-18.407000,270.000000,bottom
D_23,D,207.343500,-18.407000,270.000000,bottom
D_24,D,226.393500,-18.407000,270.000000,bottom
D_25,D,19.177000,-52.316000,90.000000,bottom
D_26,D,45.418500,-52.316000,90.000000,bottom
D_27,D,64.468500,-52.316000,90.000000,bottom
D_28,D,83.518500,-52.316000,90.000000,bottom
D_29,D,102.568500,-52.316000,90.000000,bottom
D_30,D,121.618500,-52.316000,90.000000,bottom
D_31,D,140.668500,-52.316000,90.000000,bottom
D_32,D,159.718500,-52.316000,90.000000,bottom
D_33,D,178.768500,-52.316000,90.000000,bottom
D_34,D,197.818500,-52.316000,90.000000,bottom
D_35,D,221.615000,-52.324000,90.000000,bottom
D_36,D,14.478000,-56.515000,270.000000,bottom
D_37,D,35.941000,-56.515000,270.000000,bottom
D_38,D,57.404000,-56.515000,270.000000,bottom
D_39,D,95.504000,-56.515000,270.000000,bottom
D_40,D,119.253000,-56.515000,270.000000,bottom
D_41,D,150.241000,-56.515000,270.000000,bottom
D_42,D,188.341000,-56.515000,270.000000,bottom
D_43,D,207.391000,-56.515000,270.000000,bottom
D_44,D,226.441000,-56.507000,270.000000,bottom
F1,500mA,15.494000,-13.211000,90.000000,bottom
R1,10k,46.609000,-35.687000,90.000000,bottom
R2,5.1k,14.224000,-6.858000,270.000000,bottom
R3,5.1k,25.908000,-4.572000,180.000000,bottom
R4,22,17.780000,-12.700000,90.000000,bottom
R5,22,20.066000,-12.700000,90.000000,bottom
R6,10k,25.019000,-47.625000,0.000000,bottom
R7,1M,25.908000,-2.413000,180.000000,bottom
SW1,SW_Push,52.384200,-38.097600,270.000000,bottom
U1,SRV05-4,18.923000,-9.017000,0.000000,bottom
U2,ATmega32U4-AU,29.845000,-39.878000,270.000000,bottom
USB1,HRO-TYPE-C-31-M-12,18.923000,2.667000,0.000000,bottom
Y1,Resonator_Small,39.497000,-39.370000,180.000000,bottom